"T","Points:0","Points:1","Points:2"
1623,0,0,0
1623,2343.8,0,0
1623,4687.5,0,0
1623,0,2343.8,0
1623,2343.8,2343.8,0
1623,4687.5,2343.8,0
1623,0,4687.5,0
1623,2343.8,4687.5,0
1623,4687.5,4687.5,0
1623,4687.5,0,0
1623,7031.2,0,0
1623,9375,0,0
1623,4687.5,2343.8,0
1623,7031.2,2343.8,0
1623,9375,2343.8,0
1623,4687.5,4687.5,0
1623,7031.2,4687.5,0
1623,9375,4687.5,0
1623,0,4687.5,0
1623,2343.8,4687.5,0
1623,4687.5,4687.5,0
1623,0,7031.2,0
1623,2343.8,7031.2,0
1623,4687.5,7031.2,0
1623,0,9375,0
1623,2343.8,9375,0
1623,4687.5,9375,0
1623,4687.5,4687.5,0
1623,7031.2,4687.5,0
1623,9375,4687.5,0
1623,4687.5,7031.2,0
1623,7031.2,7031.2,0
1623,9375,7031.2,0
1623,4687.5,9375,0
1623,7031.2,9375,0
1623,9375,9375,0
1623,9375,0,0
1623,11719,0,0
1623,14062,0,0
1623,9375,2343.8,0
1623,11719,2343.8,0
1623,14062,2343.8,0
1623,9375,4687.5,0
1623,11719,4687.5,0
1623,14062,4687.5,0
1623,14062,0,0
1623,16406,0,0
1623,18750,0,0
1623,14062,2343.8,0
1623,16406,2343.8,0
1623,18750,2343.8,0
1623,14062,4687.5,0
1623,16406,4687.5,0
1623,18750,4687.5,0
1623,9375,4687.5,0
1623,11719,4687.5,0
1623,14062,4687.5,0
1623,9375,7031.2,0
1623,11719,7031.2,0
1623,14062,7031.2,0
1623,9375,9375,0
1623,11719,9375,0
1623,14062,9375,0
1623,14062,4687.5,0
1623,16406,4687.5,0
1623,18750,4687.5,0
1623,14062,7031.2,0
1623,16406,7031.2,0
1623,18750,7031.2,0
1623,14062,9375,0
1623,16406,9375,0
1623,18750,9375,0
1623,0,9375,0
1623,2343.8,9375,0
1623,4687.5,9375,0
1623,0,11719,0
1623,2343.8,11719,0
1623,4687.5,11719,0
1623,0,14062,0
1623,2343.8,14062,0
1623,4687.5,14062,0
1623,4687.5,9375,0
1623,7031.2,9375,0
1623,9375,9375,0
1623,4687.5,11719,0
1623,7031.2,11719,0
1623,9375,11719,0
1623,4687.5,14062,0
1623,7031.2,14062,0
1623,9375,14062,0
1623,0,14062,0
1623,2343.8,14062,0
1623,4687.5,14062,0
1623,0,16406,0
1623,2343.8,16406,0
1623,4687.5,16406,0
1623,0,18750,0
1623,2343.8,18750,0
1623,4687.5,18750,0
1623,4687.5,14062,0
1623,7031.2,14062,0
1623,9375,14062,0
1623,4687.5,16406,0
1623,7031.2,16406,0
1623,9375,16406,0
1623,4687.5,18750,0
1623,7031.2,18750,0
1623,9375,18750,0
1623,9375,9375,0
1623,11719,9375,0
1623,14062,9375,0
1623,9375,11719,0
1623,11719,11719,0
1623,14062,11719,0
1623,9375,14062,0
1623,11719,14062,0
1623,14062,14062,0
1623,14062,9375,0
1623,16406,9375,0
1623,18750,9375,0
1623,14062,11719,0
1623,16406,11719,0
1623,18750,11719,0
1623,14062,14062,0
1623,16406,14062,0
1623,18750,14062,0
1623,9375,14062,0
1623,11719,14062,0
1623,14062,14062,0
1623,9375,16406,0
1623,11719,16406,0
1623,14062,16406,0
1623,9375,18750,0
1623,11719,18750,0
1623,14062,18750,0
1623,14062,14062,0
1623,16406,14062,0
1623,18750,14062,0
1623,14062,16406,0
1623,16406,16406,0
1623,18750,16406,0
1623,14062,18750,0
1623,16406,18750,0
1623,18750,18750,0
1623,18750,0,0
