"T","Points:0","Points:1","Points:2"
273,1.8e+05,1.5e+05,0
313.12,1.8e+05,1.49e+05,0
353.24,1.8e+05,1.48e+05,0
393.15,1.8e+05,1.47e+05,0
432.96,1.8e+05,1.46e+05,0
472.56,1.8e+05,1.45e+05,0
511.73,1.8e+05,1.44e+05,0
550.89,1.8e+05,1.43e+05,0
589.18,1.8e+05,1.42e+05,0
627.44,1.8e+05,1.41e+05,0
664.97,1.8e+05,1.4e+05,0
702.06,1.8e+05,1.39e+05,0
738.75,1.8e+05,1.38e+05,0
774.43,1.8e+05,1.37e+05,0
810.1,1.8e+05,1.36e+05,0
844.24,1.8e+05,1.35e+05,0
878.28,1.8e+05,1.34e+05,0
911.25,1.8e+05,1.33e+05,0
943.47,1.8e+05,1.32e+05,0
975.21,1.8e+05,1.31e+05,0
1005.5,1.8e+05,1.3e+05,0
1035.7,1.8e+05,1.29e+05,0
1064.1,1.8e+05,1.28e+05,0
1092.3,1.8e+05,1.27e+05,0
1119.4,1.8e+05,1.26e+05,0
1145.4,1.8e+05,1.25e+05,0
1171.1,1.8e+05,1.24e+05,0
1195,1.8e+05,1.23e+05,0
1218.9,1.8e+05,1.22e+05,0
1241,1.8e+05,1.21e+05,0
1262.8,1.8e+05,1.2e+05,0
1283.5,1.8e+05,1.19e+05,0
1303.2,1.8e+05,1.18e+05,0
1322.5,1.8e+05,1.17e+05,0
1340.2,1.8e+05,1.16e+05,0
1357.8,1.8e+05,1.15e+05,0
1373.9,1.8e+05,1.14e+05,0
1389.6,1.8e+05,1.13e+05,0
1404.5,1.8e+05,1.12e+05,0
1418.4,1.8e+05,1.11e+05,0
1432.1,1.8e+05,1.1e+05,0
1444.3,1.8e+05,1.09e+05,0
1456.6,1.8e+05,1.08e+05,0
1467.5,1.8e+05,1.07e+05,0
1478.2,1.8e+05,1.06e+05,0
1488.3,1.8e+05,1.05e+05,0
1497.5,1.8e+05,1.04e+05,0
1506.7,1.8e+05,1.03e+05,0
1514.7,1.8e+05,1.02e+05,0
1522.7,1.8e+05,1.01e+05,0
1529.8,1.8e+05,1e+05,0
1536.7,1.8e+05,99000,0
1543.2,1.8e+05,98000,0
1549.2,1.8e+05,97000,0
1554.8,1.8e+05,96000,0
1560,1.8e+05,95000,0
1564.8,1.8e+05,94000,0
1569.3,1.8e+05,93000,0
1573.4,1.8e+05,92000,0
1577.3,1.8e+05,91000,0
1581,1.8e+05,90000,0
1584.3,1.8e+05,89000,0
1587.5,1.8e+05,88000,0
1590.3,1.8e+05,87000,0
1593,1.8e+05,86000,0
1595.5,1.8e+05,85000,0
1597.8,1.8e+05,84000,0
1599.9,1.8e+05,83000,0
1601.9,1.8e+05,82000,0
1603.7,1.8e+05,81000,0
1605.3,1.8e+05,80000,0
1606.8,1.8e+05,79000,0
1608.2,1.8e+05,78000,0
1609.6,1.8e+05,77000,0
1610.7,1.8e+05,76000,0
1611.9,1.8e+05,75000,0
1612.9,1.8e+05,74000,0
1613.8,1.8e+05,73000,0
1614.7,1.8e+05,72000,0
1615.4,1.8e+05,71000,0
1616.2,1.8e+05,70000,0
1616.8,1.8e+05,69000,0
1617.4,1.8e+05,68000,0
1617.9,1.8e+05,67000,0
1618.5,1.8e+05,66000,0
1618.9,1.8e+05,65000,0
1619.3,1.8e+05,64000,0
1619.7,1.8e+05,63000,0
1620,1.8e+05,62000,0
1620.4,1.8e+05,61000,0
1620.6,1.8e+05,60000,0
1620.9,1.8e+05,59000,0
1621.1,1.8e+05,58000,0
1621.3,1.8e+05,57000,0
1621.5,1.8e+05,56000,0
1621.7,1.8e+05,55000,0
1621.8,1.8e+05,54000,0
1621.9,1.8e+05,53000,0
1622.1,1.8e+05,52000,0
1622.2,1.8e+05,51000,0
1622.3,1.8e+05,50000,0
1622.3,1.8e+05,49000,0
1622.4,1.8e+05,48000,0
1622.5,1.8e+05,47000,0
1622.6,1.8e+05,46000,0
1622.6,1.8e+05,45000,0
1622.7,1.8e+05,44000,0
1622.7,1.8e+05,43000,0
1622.7,1.8e+05,42000,0
1622.8,1.8e+05,41000,0
1622.8,1.8e+05,40000,0
1622.8,1.8e+05,39000,0
1622.8,1.8e+05,38000,0
1622.9,1.8e+05,37000,0
1622.9,1.8e+05,36000,0
1622.9,1.8e+05,35000,0
1622.9,1.8e+05,34000,0
1622.9,1.8e+05,33000,0
1622.9,1.8e+05,32000,0
1622.9,1.8e+05,31000,0
1622.9,1.8e+05,30000,0
1623,1.8e+05,29000,0
1623,1.8e+05,28000,0
1623,1.8e+05,27000,0
1623,1.8e+05,26000,0
1623,1.8e+05,25000,0
1623,1.8e+05,24000,0
1623,1.8e+05,23000,0
1623,1.8e+05,22000,0
1623,1.8e+05,21000,0
1623,1.8e+05,20000,0
1623,1.8e+05,19000,0
1623,1.8e+05,18000,0
1623,1.8e+05,17000,0
1623,1.8e+05,16000,0
1623,1.8e+05,15000,0
1623,1.8e+05,14000,0
1623,1.8e+05,13000,0
1623,1.8e+05,12000,0
1623,1.8e+05,11000,0
1623,1.8e+05,10000,0
1623,1.8e+05,9000,0
1623,1.8e+05,8000,0
1623,1.8e+05,7000,0
1623,1.8e+05,6000,0
1623,1.8e+05,5000,0
1623,1.8e+05,4000,0
1623,1.8e+05,3000,0
1623,1.8e+05,2000,0
1623,1.8e+05,1000,0
1623,1.8e+05,0,0
